Age,Workclass,fnlwgt,Education,MaritalStatus,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,hours-per-week,NativeCountry,Class
21,5,197200,10,5,7,5,5,1,0,0,40,41,0
19,5,544091,9,1,11,6,5,0,0,0,25,41,0
31,5,84154,10,7,5,4,5,1,0,0,38,38,1
48,3,265477,12,7,13,4,5,1,0,0,40,41,0
31,5,507875,5,7,7,4,5,1,0,0,43,41,0
53,3,88506,13,7,13,4,5,1,0,0,40,41,0
24,5,172987,13,7,8,4,5,1,0,0,50,41,0
49,5,94638,9,4,11,1,5,0,0,0,40,41,0
25,5,289980,9,5,1,3,5,1,0,0,35,41,0
57,8,337895,13,7,13,4,1,1,0,0,40,41,1
53,5,144361,9,7,7,4,5,1,0,0,38,41,0
44,5,128354,14,6,14,1,5,0,0,0,40,41,0
41,7,101603,11,7,3,4,5,1,0,0,40,41,0
29,5,271466,11,5,13,3,5,1,0,0,43,41,0
25,5,32275,10,7,14,6,2,0,0,0,40,41,0
18,5,226956,9,5,4,5,5,0,0,0,30,38,0
47,5,51835,15,7,13,6,5,0,0,1902,60,4,1
50,8,251585,13,6,14,3,5,1,0,0,55,41,1
47,4,109832,9,6,14,3,5,1,0,0,60,41,0
43,5,237993,10,7,8,4,5,1,0,0,40,41,1
46,5,216666,3,7,7,4,5,1,0,0,40,10,0
35,5,56352,11,7,4,4,5,1,0,0,40,16,0
41,5,147372,9,7,11,4,5,1,0,0,48,41,0
30,5,188146,9,7,7,4,5,1,5013,0,40,41,0
30,5,59496,13,7,5,4,5,1,2407,0,40,41,0
32,5,293936,4,2,8,3,5,1,0,0,40,38,0
48,5,149640,9,7,2,4,5,1,0,0,40,41,0
42,5,116632,16,7,13,4,5,1,0,0,45,41,1
29,5,105598,10,6,8,3,5,1,0,0,58,41,0
36,5,155537,9,7,3,4,5,1,0,0,40,41,0
28,5,183175,10,6,11,3,5,0,0,0,40,41,0
53,5,169846,9,7,11,6,5,0,0,0,40,41,1
49,4,191681,10,7,14,4,5,1,0,0,50,41,1
25,5,200681,10,5,8,5,5,1,0,0,40,41,0
19,5,101509,10,5,13,5,5,1,0,0,32,41,0
31,5,309974,13,4,5,5,1,0,0,0,40,41,0
29,3,162298,13,7,5,4,5,1,0,0,70,41,1
23,5,211678,10,5,7,3,5,1,0,0,40,41,0
79,5,124744,10,7,13,2,5,1,0,0,20,41,0
27,5,213921,9,5,4,5,5,1,0,0,40,10,0
40,5,32214,12,7,11,4,5,1,0,0,40,41,0
67,5,212759,6,7,8,4,5,1,0,0,2,41,0
18,5,309634,7,5,4,5,5,0,0,0,22,41,0
31,6,125927,4,7,9,4,5,1,0,0,40,41,0
18,5,446839,9,5,5,3,5,1,0,0,30,41,0
52,5,276515,13,7,4,4,5,1,0,0,40,2,0
46,5,51618,9,7,4,6,5,0,0,0,40,41,0
59,5,159937,9,7,5,4,5,1,0,0,48,41,0
44,5,343591,9,6,3,3,5,0,14344,0,40,41,1
53,5,346253,9,6,5,5,5,0,0,0,35,41,0
49,6,268234,9,7,10,4,5,1,0,0,40,41,1
33,5,202051,14,7,13,4,5,1,0,0,50,41,0
30,5,54334,5,5,5,3,5,1,0,0,40,41,0
43,8,410867,16,5,13,3,5,0,0,0,50,41,1
57,5,249977,11,7,13,4,5,1,0,0,40,41,0
37,5,286730,10,6,3,1,5,0,0,0,40,41,0
28,5,212563,10,6,7,1,1,0,0,0,25,41,0
30,5,117747,9,7,5,6,3,0,0,1573,35,38,0
34,6,226296,13,7,10,4,5,1,0,0,40,41,1
29,6,115585,10,5,1,3,5,1,0,0,50,41,0
48,3,191277,16,7,13,4,5,1,0,1902,60,41,1
37,5,202683,10,7,5,4,5,1,0,0,48,41,1
48,5,171095,12,6,14,1,5,0,0,0,40,40,0
32,8,249409,9,5,4,5,1,1,0,0,40,41,0
76,5,124191,14,7,14,4,5,1,0,0,40,41,1
44,5,198282,13,7,14,4,5,1,15024,0,60,41,1
47,3,149116,14,5,13,3,5,0,0,0,50,41,0
20,5,188300,10,5,8,5,5,0,0,0,40,41,0
29,5,103432,9,5,3,3,5,1,0,0,40,41,0
32,4,317660,9,7,3,4,5,1,7688,0,40,41,1
17,5,304873,6,5,8,5,5,0,34095,0,32,41,0
30,5,194901,7,5,1,5,5,1,0,0,40,41,0
31,6,189265,9,5,11,3,5,0,0,0,40,41,0
42,5,124692,9,7,1,4,5,1,0,0,40,41,0
24,5,432376,13,5,5,2,5,1,0,0,40,41,0
38,5,65324,15,7,13,4,5,1,0,0,40,41,1
56,3,335605,9,7,4,4,5,1,0,1887,50,5,1
28,5,377869,10,7,5,6,5,0,4064,0,25,41,0
36,5,102864,9,5,7,5,5,0,0,0,40,41,0
53,5,95647,5,7,1,4,5,1,0,0,50,41,0
56,4,303090,10,7,5,4,5,1,0,0,50,41,0
49,6,197371,11,7,3,4,1,1,0,0,40,41,1
55,5,247552,10,7,5,4,5,1,0,0,56,41,0
22,5,102632,9,5,3,3,5,1,0,0,41,41,0
21,5,199915,10,5,4,5,5,0,0,0,40,41,0
40,5,118853,13,7,14,4,5,1,0,0,60,41,0
30,5,77143,13,5,14,5,1,1,0,0,40,39,0
29,7,267989,13,7,13,4,5,1,0,0,50,41,1
19,5,301606,10,5,4,5,1,1,0,0,35,41,0
47,5,287828,13,7,14,6,5,0,0,0,40,41,1
20,5,111697,10,5,11,5,5,0,0,1719,28,41,0
31,5,114937,12,7,11,4,5,1,0,0,40,41,1
35,5,129305,9,7,8,4,5,1,0,0,40,41,0
39,5,365739,10,6,3,3,5,1,0,0,40,41,0
28,5,69621,12,5,5,3,5,0,0,0,60,41,0
24,5,43323,9,5,4,3,5,0,0,1762,40,41,0
38,3,120985,9,7,3,4,5,1,4386,0,35,41,0
37,5,254202,13,7,5,4,5,1,0,0,50,41,0
46,5,146195,12,6,8,3,1,0,0,0,36,41,0
38,8,125933,14,7,13,4,5,1,0,0,40,1,1
43,3,56920,9,7,3,4,5,1,0,0,60,41,0
27,5,163127,11,7,11,6,5,0,0,0,35,41,0
20,5,34310,10,5,5,5,5,1,0,0,20,41,0
49,5,81973,10,7,3,4,3,1,0,0,40,41,1
61,4,66614,9,7,3,4,5,1,0,0,40,41,0
27,5,232782,10,5,5,5,5,0,0,0,40,41,0
19,5,316868,10,5,4,5,5,1,0,0,30,10,0
45,5,196584,11,5,13,3,5,0,0,1564,40,41,1
70,5,105376,10,5,8,2,5,1,0,0,40,41,0
31,5,185814,9,5,2,1,1,0,0,0,30,41,0
22,5,175374,10,7,4,4,5,1,0,0,24,41,0
36,5,108293,9,3,4,1,5,0,0,0,24,41,0
64,5,181232,7,7,3,4,5,1,0,2179,40,41,0
43,5,174662,10,6,8,3,5,0,0,0,40,41,0
47,6,186009,10,6,11,1,5,0,0,0,38,10,0
34,5,198183,9,5,11,3,5,0,0,0,40,41,0
33,5,163003,13,5,14,2,3,0,0,0,40,12,0
21,5,296158,9,5,3,5,5,1,0,0,35,41,0
52,5,252903,9,6,8,3,5,1,0,0,45,41,1
48,5,187715,9,7,3,4,5,1,0,0,46,41,0
23,5,214542,13,5,1,3,5,1,0,0,40,41,0
71,3,494223,10,4,5,1,1,1,0,1816,2,41,0
29,5,191535,9,6,3,3,5,1,0,0,60,41,0
42,5,228456,13,4,4,2,1,1,0,0,50,41,0
68,5,38317,2,6,8,3,5,0,0,0,20,41,0
25,5,252752,9,5,4,1,5,0,0,0,40,41,0
44,4,78374,14,6,14,1,3,0,0,0,40,41,0
28,5,88419,9,5,14,3,3,0,0,0,40,40,0
45,3,201080,14,7,5,4,5,1,0,0,40,41,1
36,5,207157,10,6,4,1,5,0,0,0,40,10,0
39,8,235485,12,5,14,3,5,1,0,0,42,41,0
46,7,102628,14,3,10,1,5,1,0,0,40,41,0
18,5,25828,7,5,1,5,5,1,0,0,16,41,0
66,6,54826,11,3,13,3,5,0,0,0,20,41,0
27,5,124953,9,5,4,3,5,1,0,1980,40,41,0
28,7,175325,9,7,10,4,5,1,0,0,40,41,0
51,5,96062,10,7,5,4,5,1,0,1977,40,41,1
27,5,428030,13,5,3,3,5,1,0,0,50,41,0
28,7,149624,13,7,13,4,5,1,0,0,40,41,1
27,5,253814,9,2,5,1,5,0,0,0,25,41,0
21,5,312956,9,5,3,5,1,1,0,0,40,41,0
34,5,483777,9,5,1,3,1,1,0,0,40,41,0
18,5,183930,9,5,4,5,5,1,0,0,12,41,0
33,5,37274,13,7,13,4,5,1,0,0,65,41,0
44,6,181344,10,7,14,4,1,1,0,0,38,41,1
43,5,114580,10,6,11,3,5,0,0,0,40,41,0
30,5,633742,10,5,3,3,1,1,0,0,45,41,0
40,5,286370,4,7,7,4,5,1,0,0,40,10,1
37,8,29054,10,7,11,4,5,1,0,0,42,41,1
34,5,304030,9,7,11,4,1,1,0,0,40,41,0
41,3,143129,13,6,14,3,5,0,0,0,40,41,0
53,5,135105,13,6,8,3,5,0,0,0,50,41,0
31,5,99928,14,7,13,6,5,0,0,0,50,41,0
58,7,109567,16,7,13,4,5,1,0,0,1,41,1
38,5,155222,10,6,7,3,1,0,0,0,28,41,0
24,5,159567,10,7,7,4,5,1,0,0,40,41,0
41,6,523910,13,7,3,4,1,1,0,0,40,41,0
47,5,120939,10,7,8,4,5,1,0,0,45,41,0
41,8,130760,13,7,8,4,5,1,0,0,24,41,0
23,5,197387,3,7,2,2,5,1,0,0,40,10,0
36,5,99374,10,6,3,3,5,1,0,0,40,41,0
40,8,56795,14,5,14,3,5,0,14084,0,55,41,1
35,5,138992,14,7,13,2,5,1,7298,0,40,41,1
24,3,32921,9,5,5,3,5,1,0,0,40,41,0
26,5,397317,14,5,13,3,5,0,0,1876,40,41,0
19,5,170653,9,5,8,5,5,1,0,0,40,35,0
51,5,259323,13,7,14,4,5,1,0,0,50,41,1
42,6,254817,10,5,13,3,5,0,0,1340,40,41,0
37,7,48211,9,6,11,1,5,0,0,0,35,41,0
18,5,140164,7,5,5,5,5,0,0,0,40,41,0
36,5,128757,13,7,4,4,1,1,7298,0,36,41,1
35,5,36270,9,6,3,3,5,1,0,0,60,41,0
58,4,210563,9,7,5,6,5,0,15024,0,35,41,1
17,5,65368,7,5,5,5,5,0,0,0,12,41,0
44,6,160943,9,7,2,4,1,1,0,0,40,41,0
37,5,208358,9,7,3,4,5,1,0,0,40,41,1
35,5,153790,10,5,5,3,4,0,0,0,40,41,0
60,5,85815,9,7,3,4,3,1,0,0,40,41,0
54,4,125417,4,7,7,4,5,1,0,0,40,41,1
37,5,635913,13,5,14,3,1,1,0,0,60,41,1
50,5,313321,12,6,5,3,5,0,0,0,40,41,0
38,5,182609,13,7,5,4,5,1,0,0,50,30,0
45,5,109434,13,7,13,4,5,1,0,0,55,41,0
25,5,255004,6,5,3,3,5,1,0,0,40,41,0
31,5,197860,10,7,1,4,5,1,0,0,40,41,0
64,5,187656,2,6,8,3,5,1,0,0,40,41,0
90,5,51744,9,5,4,3,1,1,0,2206,40,41,0
54,5,176681,9,7,11,4,1,1,0,0,20,41,0
53,6,140359,1,5,7,3,5,0,0,0,35,41,0
18,5,243313,9,5,5,5,5,0,0,0,40,41,0
60,5,24215,6,6,8,3,4,0,0,0,10,41,0
66,3,167687,9,7,9,4,5,1,1409,0,50,41,0
75,5,314209,11,3,11,3,5,0,0,0,20,26,0
65,5,176796,9,6,11,3,5,0,0,0,40,41,0
35,5,538583,7,4,2,3,1,1,3674,0,40,41,0
41,5,130408,9,6,5,1,1,0,0,0,38,41,0
25,5,159732,10,5,11,3,5,1,0,0,42,41,0
33,5,110978,10,6,3,2,2,0,0,0,40,41,0
28,5,76714,15,5,13,3,5,1,0,0,55,41,1
59,7,268700,9,7,4,4,5,1,0,0,40,41,0
40,7,170525,10,5,11,3,5,0,0,0,38,41,0
41,5,180138,13,7,14,4,5,1,0,0,50,1,1
38,6,115076,14,7,14,4,5,1,0,0,70,41,1
23,5,115458,9,5,2,5,5,1,0,0,40,41,0
40,5,347890,13,7,13,4,5,1,0,0,40,41,1
41,3,196001,9,7,4,6,5,0,0,0,20,41,0
24,7,273905,12,7,10,4,5,1,0,0,50,41,0
20,5,119156,10,5,8,5,5,1,0,0,20,41,0
38,5,179488,10,6,3,3,5,1,0,1741,40,41,0
56,5,203580,9,7,11,4,5,1,0,0,35,38,0
58,5,236596,9,7,11,4,5,1,0,0,45,41,1
32,5,183916,9,5,4,3,5,0,0,0,34,41,0
40,5,207578,12,7,8,4,5,1,0,1977,60,41,1
45,5,153141,9,7,11,4,5,1,0,0,40,38,0
41,5,112763,15,7,13,6,5,0,0,0,40,41,1
42,5,390781,13,7,11,6,1,0,0,0,40,41,0
59,6,171328,6,3,4,1,1,0,0,0,30,41,0
19,6,27382,10,5,11,5,5,1,0,0,40,41,0
58,5,259014,10,5,2,3,5,1,0,0,20,41,0
42,3,303044,9,7,9,4,3,1,0,0,40,11,1
20,5,117789,9,5,4,5,5,0,0,0,40,41,0
32,5,172579,9,4,4,3,5,0,0,0,30,41,0
45,5,187666,11,3,14,3,5,0,0,0,45,41,0
50,5,204518,4,6,3,3,5,1,0,0,40,41,0
36,5,150042,13,6,13,5,5,0,0,0,40,41,0
45,5,98092,9,7,5,4,5,1,0,0,60,41,0
17,5,245918,7,5,4,5,5,1,0,0,12,41,0
59,5,146013,10,7,5,4,5,1,4064,0,40,41,0
26,5,378322,7,7,3,4,5,1,0,0,40,41,0
37,4,257295,10,7,14,4,3,1,0,0,75,17,1
19,5,218956,10,5,8,5,5,1,0,0,24,5,0
64,5,21174,9,7,14,4,5,1,0,0,40,41,1
33,5,185480,13,5,13,3,5,0,0,0,45,41,0
33,5,222205,9,7,3,6,5,0,0,0,40,41,1
61,5,69867,9,7,14,4,5,1,0,0,40,41,1
17,5,191260,5,5,4,5,5,1,1055,0,24,41,0
50,3,30653,14,7,9,4,5,1,2407,0,98,41,0
27,6,209109,14,5,13,5,5,1,0,0,35,41,0
30,5,70377,9,6,13,5,5,0,0,0,40,41,0
43,5,477983,9,7,1,4,1,1,0,0,40,41,0
44,5,170924,10,7,3,4,5,1,7298,0,40,41,1
35,5,190174,10,5,14,3,5,0,0,0,40,41,0
25,5,193787,10,5,8,5,5,0,0,0,40,41,0
24,5,279472,10,7,7,6,5,0,7298,0,48,41,1
22,5,34918,13,5,13,3,5,0,0,0,15,39,0
42,6,97688,10,7,3,4,5,1,5178,0,40,41,1
34,5,175413,12,6,5,1,1,0,0,0,45,41,0
60,5,173960,13,6,13,3,5,0,0,0,42,41,0
21,5,205759,9,5,1,5,5,1,0,0,40,41,0
57,8,425161,14,7,5,4,5,1,15024,0,40,41,1
41,5,220531,15,7,13,4,5,1,0,0,60,41,1
50,5,176609,10,6,4,3,5,1,0,0,45,41,0
25,5,371987,13,5,14,3,5,0,0,0,40,41,0
50,5,193884,4,7,3,4,5,1,0,0,40,24,0
36,5,200352,13,7,13,4,5,1,0,0,45,41,0
31,5,127595,9,6,13,3,5,0,0,0,40,41,0
29,6,220419,13,5,10,3,5,1,0,0,56,41,0
21,5,231931,10,5,5,5,5,1,0,0,45,41,0
27,5,248402,13,5,8,1,1,0,0,0,40,41,0
65,5,111095,9,7,2,4,5,1,0,0,16,41,0
37,4,57424,13,6,5,3,5,0,0,0,60,41,0
39,5,157443,14,7,8,6,3,0,3464,0,40,38,0
24,5,278130,9,5,3,5,5,1,0,0,40,41,0
38,5,169469,9,6,5,3,5,1,0,0,80,41,0
48,5,146268,13,7,11,4,5,1,7688,0,40,41,1
21,5,153718,10,5,4,3,3,0,0,0,25,41,0
31,5,217460,9,7,2,4,5,1,0,0,45,41,1
55,5,238638,9,7,5,4,5,1,4386,0,40,41,1
24,5,303296,10,7,11,6,3,0,0,0,40,13,0
43,5,173321,9,6,11,3,5,0,0,0,40,41,0
26,5,193945,12,5,8,3,5,1,0,0,45,41,0
46,5,83082,12,5,13,3,5,0,0,0,33,41,0
35,5,193815,12,7,11,4,5,1,0,0,40,41,1
41,4,34987,10,7,9,4,5,1,0,0,54,41,1
26,5,59306,13,5,5,3,5,1,0,0,40,41,0
34,5,142897,14,7,14,4,3,1,7298,0,35,8,1
19,5,860348,10,5,8,5,1,0,0,0,25,41,0
36,3,205607,13,6,13,3,1,0,0,0,40,41,1
22,5,199698,10,5,5,5,5,1,0,0,15,41,0
24,5,191954,10,5,7,3,5,1,0,0,40,41,0
77,3,138714,10,7,5,4,5,1,0,0,40,41,0
22,5,399087,3,7,7,2,5,0,0,0,40,10,0
29,5,423158,10,5,8,3,5,0,0,0,40,41,0
62,5,159841,9,3,4,3,5,0,0,0,24,41,0
39,3,174308,9,7,14,4,5,1,0,0,40,41,0
43,5,50356,10,7,3,4,5,1,0,1485,50,41,0
35,5,186110,9,6,2,3,5,1,0,0,45,41,0
29,5,200381,7,5,14,3,5,0,0,0,40,41,0
76,3,174309,14,7,3,4,5,1,0,0,10,41,0
63,3,78383,9,7,9,4,5,1,0,0,45,41,0
23,5,211601,11,5,8,5,1,0,0,0,15,41,0
43,5,187728,10,7,13,6,5,0,0,1887,50,41,1
58,3,321171,9,7,1,4,5,1,0,0,40,41,0
66,5,127921,9,5,2,3,5,1,2050,0,55,41,0
41,5,206565,10,5,3,3,1,1,0,0,45,41,0
26,5,224563,13,5,11,3,5,1,0,0,40,41,0
47,5,178686,11,5,4,3,5,1,0,0,40,41,0
55,6,98545,6,7,11,4,5,1,0,0,40,41,0
53,5,242606,9,7,2,4,5,1,0,0,40,41,0
17,5,270942,3,5,4,2,5,1,0,0,48,10,0
30,5,94235,9,5,3,2,5,1,0,0,40,41,0
49,5,71195,14,5,13,3,5,1,0,0,60,41,0
19,5,104112,9,5,5,1,1,1,0,0,30,9,0
45,5,261192,9,7,4,4,1,1,0,0,40,41,0
26,5,94936,12,5,5,3,5,1,0,0,40,41,0
38,5,296478,11,7,3,4,5,1,7298,0,40,41,1
36,7,119272,9,7,10,4,5,1,7298,0,40,41,1
33,5,85043,9,5,9,3,5,1,0,0,20,41,0
22,7,293364,10,5,10,5,1,0,0,0,40,41,0
43,3,241895,13,5,5,3,5,1,0,0,42,41,0
67,5,36135,7,7,8,4,5,1,0,0,8,41,0
30,5,151989,11,6,8,1,5,0,0,0,40,41,0
56,5,101128,12,2,4,3,5,1,0,0,25,1,0
31,5,156464,13,5,13,5,5,1,0,0,25,41,0
33,5,117963,13,7,14,4,5,1,0,0,40,41,1
26,5,192262,9,7,4,4,5,1,0,0,40,41,0
33,5,111363,13,7,14,4,5,1,0,0,40,41,1
46,6,329752,7,7,2,4,5,1,0,0,30,41,0
59,5,372020,13,7,8,4,5,1,0,0,40,41,1
38,8,95432,9,7,11,4,5,1,0,0,40,41,1
65,5,161400,7,3,4,1,2,1,0,0,40,41,0
40,5,96129,11,7,8,4,5,1,0,0,40,41,1
42,5,111949,9,7,11,6,5,0,0,0,35,41,0
26,3,117125,5,7,3,4,5,1,0,0,40,31,0
36,5,348022,6,7,4,6,5,0,0,0,24,41,0
62,5,270092,14,7,13,4,5,1,0,0,40,41,1
43,5,180609,13,7,2,4,5,1,0,0,45,41,0
43,5,174575,13,6,14,3,5,1,0,1564,45,41,1
22,5,410439,9,2,5,3,5,1,0,0,55,41,0
28,5,92262,9,7,3,4,5,1,0,0,40,41,0
56,3,183081,10,7,5,4,5,1,0,0,45,41,0
22,5,362589,12,5,5,3,5,0,0,0,15,41,0
57,5,212448,13,6,14,3,5,0,0,0,45,41,1
39,5,481060,9,6,5,1,5,0,0,0,40,41,0
26,8,185885,10,5,11,1,5,0,0,0,15,41,0
17,5,89821,7,5,4,5,5,1,0,0,10,41,0
40,7,184018,11,7,7,4,5,1,0,0,38,41,1
45,5,256649,9,7,7,4,1,1,0,0,40,41,0
44,5,160323,9,5,3,3,1,1,0,0,40,41,0
20,6,350845,10,5,11,5,5,0,0,0,10,41,0
33,5,267404,9,7,3,6,5,0,0,0,40,41,0
23,5,35633,10,5,5,3,5,1,0,0,40,41,0
46,3,80914,14,6,14,3,5,1,0,0,30,41,0
38,5,172927,9,7,5,4,5,1,0,0,50,41,0
54,5,174319,9,6,2,3,5,1,0,0,40,41,0
46,5,214955,3,6,3,3,5,0,0,2339,45,41,0
25,5,344991,10,7,3,4,5,1,0,0,40,41,0
46,5,108699,10,6,5,3,5,0,0,0,40,41,0
36,6,117312,10,7,2,6,5,0,0,0,40,41,0
23,5,396099,9,5,4,3,5,0,0,0,25,41,0
29,5,134152,9,4,7,3,5,1,0,0,40,41,0
44,5,162028,10,7,11,6,5,0,0,2415,6,41,1
19,5,25429,10,5,11,5,5,0,0,0,16,41,0
19,5,232392,9,5,4,2,5,0,0,0,40,41,0
35,5,220098,9,7,4,6,5,0,0,0,40,41,1
27,5,301302,13,5,3,3,5,1,0,0,50,41,0
46,3,277946,12,4,3,3,5,1,0,0,40,41,0
34,7,98101,13,7,14,4,5,1,7688,0,45,38,1
34,5,196164,9,5,4,3,5,0,0,0,35,41,0
44,5,115562,10,7,8,4,5,1,0,0,40,41,0
45,5,96975,10,6,1,1,5,0,0,0,40,41,0
20,5,137300,9,5,8,2,5,0,0,0,35,41,0
25,5,86872,13,7,14,4,5,1,0,0,55,41,1
52,4,132178,13,7,14,4,5,1,0,0,50,41,1
20,5,416103,10,5,1,5,5,1,0,0,40,41,0
28,5,108574,10,5,4,3,5,0,0,0,40,41,0
50,7,288353,13,7,10,4,5,1,0,0,40,41,1
34,5,227689,11,6,8,3,5,0,0,0,64,41,0
28,5,166481,4,7,1,4,2,1,0,2179,40,16,0
41,5,445382,14,7,14,4,5,1,0,1977,65,41,1
28,5,110145,9,7,11,4,5,1,0,0,40,41,0
46,3,317253,9,7,3,4,5,1,0,0,25,41,0
28,5,123147,10,7,8,6,5,0,0,1887,40,41,1
32,5,364657,10,7,14,4,5,1,0,0,50,41,0
41,6,42346,10,6,4,3,1,0,0,0,24,41,0
24,5,241951,9,5,1,1,1,0,0,0,40,41,0
33,5,118500,10,6,14,1,5,0,0,0,40,41,0
46,5,188386,16,7,14,4,5,1,15024,0,60,41,1
31,7,1033222,10,7,7,4,5,1,0,0,40,41,0
35,5,92440,8,6,3,3,5,1,0,0,50,41,1
52,5,190762,2,7,7,4,5,1,0,0,40,10,0
30,5,426017,7,5,4,5,5,0,0,0,19,41,0
34,6,243867,7,4,7,3,1,1,0,0,40,41,0
34,7,240283,9,6,2,1,5,0,0,0,40,41,0
20,5,61777,10,7,5,4,5,1,0,0,30,41,0
17,5,175024,7,5,1,5,5,1,2176,0,18,41,0
32,7,92003,13,7,14,6,5,0,0,0,40,41,1
29,5,188401,9,6,9,3,5,1,0,0,40,41,0
33,5,228528,6,5,3,1,5,0,0,0,35,41,0
25,5,133373,9,7,2,4,5,1,0,0,60,41,0
36,8,255191,14,5,13,3,5,1,0,1408,40,41,0
23,5,204653,9,5,1,3,5,1,0,0,72,14,0
63,4,222289,9,7,14,4,5,1,0,0,40,41,1
47,6,287480,14,7,13,4,5,1,0,0,40,41,0
80,5,107762,9,3,8,3,5,1,0,0,24,41,0
17,5,202521,7,5,8,5,5,1,0,0,40,41,0
40,3,204116,13,2,13,3,5,0,2174,0,40,41,0
30,5,29662,12,7,4,6,5,0,0,0,25,41,1
27,5,116358,10,5,3,5,3,1,0,1980,40,12,0
33,5,208405,14,7,13,4,5,1,0,0,50,41,1
34,6,284843,9,5,9,3,1,1,594,0,60,41,0
34,6,117018,10,5,10,3,5,0,0,0,40,41,0
23,5,81281,10,7,11,4,5,1,0,0,40,41,0
42,6,340148,10,7,11,6,5,0,0,0,40,41,0
29,5,363425,13,5,13,3,5,1,0,0,40,41,0
45,5,45857,9,6,11,3,5,0,0,0,28,41,0
24,8,191073,9,5,12,5,5,1,0,0,40,41,0
44,5,116632,10,7,13,4,5,1,0,0,40,41,1
27,5,405855,5,5,3,2,5,1,0,0,40,10,0
20,5,298227,10,5,5,3,5,1,0,0,35,41,0
44,5,290521,9,3,14,1,1,0,0,0,40,41,0
51,5,56915,9,7,3,4,4,1,0,0,40,41,0
20,5,146538,9,7,7,4,5,1,0,0,40,41,0
17,5,258872,7,5,8,5,5,0,0,0,5,41,0
19,5,206399,9,5,7,5,1,0,0,0,40,41,0
45,4,197332,10,7,3,4,5,1,0,0,55,41,1
60,5,245062,9,7,3,4,5,1,0,0,40,41,1
42,5,197583,12,7,14,4,1,1,0,0,40,38,1
44,3,234885,9,7,5,6,5,0,0,0,40,41,1
40,5,72887,11,7,7,4,3,1,0,0,40,41,1
30,5,180374,9,7,14,6,5,0,0,0,40,41,0
38,5,351299,10,7,2,4,1,1,0,0,50,41,0
23,5,54012,9,7,2,4,5,1,0,0,60,41,0
32,5,115745,10,7,8,4,5,1,0,0,40,41,0
44,5,116632,12,5,9,5,5,1,0,0,40,41,0
54,6,288825,9,7,2,4,1,1,0,0,40,41,0
32,5,132601,13,7,13,4,5,1,0,0,50,41,0
50,5,193374,2,2,3,1,5,1,0,0,40,41,0
24,5,170070,13,5,8,3,5,0,0,0,20,41,0
37,5,126708,9,7,11,6,5,0,0,0,60,41,0
52,5,35598,9,6,2,1,5,1,0,0,40,41,0
38,5,33983,10,7,2,4,5,1,0,0,40,41,0
49,5,192776,14,7,14,4,5,1,0,1977,45,41,1
30,5,118551,13,7,8,6,5,0,0,0,16,41,1
60,5,201965,10,5,13,1,5,1,0,0,40,41,1
22,5,139883,10,5,8,5,5,1,0,0,40,41,0
35,5,285020,9,5,3,3,5,1,0,0,40,41,0
30,5,303990,9,5,2,3,5,1,0,0,60,41,0
67,5,49401,11,6,4,3,5,0,0,0,24,41,0
46,5,279196,13,5,3,3,5,0,0,0,40,41,0
